TEXT,EMOTION
I've tried many times but still can't solve it. while studying History.,frustrated
I know I can solve these questions. while studying English.,confident
I'm worried about tomorrow's exam. while studying Algorithms.,anxious
I feel discouraged. while studying Biology.,sad
I'm happy with my progress. while studying Physics.,happy
I've tried many times but still can't solve it. while studying History.,frustrated
I understand everything clearly. while studying Biology.,confident
I'm worried about tomorrow's exam. while studying Data Structures.,anxious
I keep making mistakes and feel frustrated. while studying Biology.,frustrated
I'm ready for the exam. while studying Physics.,confident
I'm confident about this subject. while studying Data Structures.,confident
I'm worried about tomorrow's exam. while studying English.,anxious
I can't stay focused. while studying Algorithms.,bored
I'm sad because I failed. while studying Algorithms.,sad
Nothing seems to work. while studying Mathematics.,frustrated
The class feels too slow. while studying Mathematics.,bored
I can't stay focused. while studying Algorithms.,bored
This assignment is stressing me. while studying History.,frustrated
I feel disappointed with my marks. while studying English.,sad
I'm losing interest. while studying Algorithms.,bored
I solved the problem successfully. while studying Mathematics.,happy
I enjoy exploring how this works. while studying Mathematics.,curious
The test is making me nervous. while studying Biology.,anxious
I'm confident about this subject. while studying Python.,confident
I'm afraid I'll fail. while studying Data Structures.,anxious
The explanation is confusing. while studying Biology.,confused
I want to understand this concept better. while studying Algorithms.,curious
I don't understand this lesson. while studying Python.,confused
This chapter makes me ask many questions. while studying Biology.,curious
I can't stay focused. while studying Physics.,bored
This topic doesn't make sense to me. while studying Python.,confused
I feel discouraged. while studying Biology.,sad
I'm ready for the exam. while studying History.,confident
I want to understand this concept better. while studying Biology.,curious
This assignment is stressing me. while studying English.,frustrated
I feel great after understanding it. while studying Data Structures.,happy
I know I can solve these questions. while studying Python.,confident
The explanation is confusing. while studying English.,confused
I'm ready for the exam. while studying English.,confident
This topic doesn't make sense to me. while studying Data Structures.,confused
I've tried many times but still can't solve it. while studying Machine Learning.,frustrated
I feel discouraged. while studying Mathematics.,sad
I solved the problem successfully. while studying English.,happy
I know I can solve these questions. while studying Data Structures.,confident
I understand everything clearly. while studying Algorithms.,confident
I understand everything clearly. while studying Algorithms.,confident
I'm worried about tomorrow's exam. while studying Physics.,anxious
I solved the problem successfully. while studying Data Structures.,happy
I'm afraid I'll fail. while studying Python.,anxious
I don't understand this lesson. while studying Chemistry.,confused
The test is making me nervous. while studying Biology.,anxious
I solved the problem successfully. while studying History.,happy
I understand everything clearly. while studying History.,confident
I feel discouraged. while studying Algorithms.,sad
I studied hard but didn't succeed. while studying Algorithms.,sad
The test is making me nervous. while studying History.,anxious
I want to understand this concept better. while studying History.,curious
I've tried many times but still can't solve it. while studying History.,frustrated
I'm afraid I'll fail. while studying English.,anxious
I'm happy with my progress. while studying Data Structures.,happy
I'm ready for the exam. while studying English.,confident
I feel discouraged. while studying Physics.,sad
Learning this was fun. while studying Python.,happy
I keep making mistakes and feel frustrated. while studying Mathematics.,frustrated
This chapter makes me ask many questions. while studying Python.,curious
I solved the problem successfully. while studying Chemistry.,happy
I feel discouraged. while studying Physics.,sad
I know I can solve these questions. while studying Chemistry.,confident
This chapter makes me ask many questions. while studying Python.,curious
I understand everything clearly. while studying History.,confident
I feel disappointed with my marks. while studying Python.,sad
I'm ready for the exam. while studying Biology.,confident
I don't understand this lesson. while studying Biology.,confused
Learning this was fun. while studying Chemistry.,happy
I'm confident about this subject. while studying Python.,confident
I feel great after understanding it. while studying Data Structures.,happy
I understand everything clearly. while studying Algorithms.,confident
I feel discouraged. while studying Data Structures.,sad
This assignment is stressing me. while studying Data Structures.,frustrated
This lesson is boring. while studying Python.,bored
The explanation is confusing. while studying Physics.,confused
I feel discouraged. while studying Machine Learning.,sad
The test is making me nervous. while studying History.,anxious
The explanation is confusing. while studying Chemistry.,confused
I'm losing interest. while studying English.,bored
I'm sad because I failed. while studying Biology.,sad
I'm worried about tomorrow's exam. while studying English.,anxious
I'm sad because I failed. while studying Python.,sad
I'm confident about this subject. while studying Algorithms.,confident
I enjoy exploring how this works. while studying Data Structures.,curious
This chapter makes me ask many questions. while studying Data Structures.,curious
The test is making me nervous. while studying Chemistry.,anxious
I know I can solve these questions. while studying Python.,confident
I've tried many times but still can't solve it. while studying Physics.,frustrated
I understand everything clearly. while studying Physics.,confident
This topic doesn't make sense to me. while studying Chemistry.,confused
I feel discouraged. while studying Mathematics.,sad
This topic doesn't make sense to me. while studying Mathematics.,confused
I cannot follow the steps. while studying History.,confused
I feel disappointed with my marks. while studying Physics.,sad
I can't stay focused. while studying Machine Learning.,bored
Nothing seems to work. while studying Chemistry.,frustrated
I'm sad because I failed. while studying Python.,sad
I don't understand this lesson. while studying Algorithms.,confused
I don't understand this lesson. while studying Data Structures.,confused
I'm ready for the exam. while studying History.,confident
Learning this was fun. while studying Algorithms.,happy
The explanation is confusing. while studying Biology.,confused
I'm ready for the exam. while studying Python.,confident
I feel disappointed with my marks. while studying Biology.,sad
I'm sad because I failed. while studying Data Structures.,sad
I feel disappointed with my marks. while studying Data Structures.,sad
I feel discouraged. while studying Python.,sad
I'm interested in learning more about this topic. while studying Data Structures.,curious
I don't understand this lesson. while studying Data Structures.,confused
I cannot follow the steps. while studying Biology.,confused
I enjoy exploring how this works. while studying Data Structures.,curious
I'm sad because I failed. while studying Python.,sad
Nothing seems to work. while studying Data Structures.,frustrated
I keep making mistakes and feel frustrated. while studying Data Structures.,frustrated
I solved the problem successfully. while studying Physics.,happy
I'm confident about this subject. while studying Mathematics.,confident
This lesson is boring. while studying Algorithms.,bored
I understand everything clearly. while studying Mathematics.,confident
Nothing seems to work. while studying Data Structures.,frustrated
I'm interested in learning more about this topic. while studying Algorithms.,curious
I want to understand this concept better. while studying Data Structures.,curious
I keep making mistakes and feel frustrated. while studying Chemistry.,frustrated
I'm interested in learning more about this topic. while studying English.,curious
I don't think I'm prepared. while studying Mathematics.,anxious
I'm worried about tomorrow's exam. while studying Biology.,anxious
The explanation is confusing. while studying Machine Learning.,confused
This chapter makes me ask many questions. while studying Machine Learning.,curious
I studied hard but didn't succeed. while studying English.,sad
I'm happy with my progress. while studying Mathematics.,happy
I've tried many times but still can't solve it. while studying History.,frustrated
I've tried many times but still can't solve it. while studying History.,frustrated
I feel discouraged. while studying Physics.,sad
This lesson is boring. while studying Biology.,bored
I cannot follow the steps. while studying Physics.,confused
This lesson is boring. while studying Python.,bored
The class feels too slow. while studying Physics.,bored
I'm happy with my progress. while studying English.,happy
I can't stay focused. while studying Chemistry.,bored
This lesson is boring. while studying Biology.,bored
I cannot follow the steps. while studying Biology.,confused
I'm worried about tomorrow's exam. while studying History.,anxious
This assignment is stressing me. while studying Algorithms.,frustrated
I cannot follow the steps. while studying Python.,confused
I'm afraid I'll fail. while studying Machine Learning.,anxious
Nothing seems to work. while studying Algorithms.,frustrated
I feel great after understanding it. while studying Biology.,happy
I'm worried about tomorrow's exam. while studying Python.,anxious
This assignment is stressing me. while studying Machine Learning.,frustrated
This lesson is boring. while studying Biology.,bored
I'm losing interest. while studying Biology.,bored
I studied hard but didn't succeed. while studying Biology.,sad
I don't understand this lesson. while studying Python.,confused
I want to understand this concept better. while studying Biology.,curious
I'm sad because I failed. while studying Mathematics.,sad
Learning this was fun. while studying History.,happy
This lesson is boring. while studying Data Structures.,bored
I studied hard but didn't succeed. while studying Chemistry.,sad
I solved the problem successfully. while studying Mathematics.,happy
I'm losing interest. while studying English.,bored
I understand everything clearly. while studying Mathematics.,confident
I'm ready for the exam. while studying Data Structures.,confident
I enjoy exploring how this works. while studying Biology.,curious
I'm sad because I failed. while studying Python.,sad
I don't understand this lesson. while studying Mathematics.,confused
I want to understand this concept better. while studying Data Structures.,curious
I keep making mistakes and feel frustrated. while studying Biology.,frustrated
The class feels too slow. while studying Physics.,bored
I feel disappointed with my marks. while studying Data Structures.,sad
This assignment is stressing me. while studying English.,frustrated
This chapter makes me ask many questions. while studying History.,curious
I know I can solve these questions. while studying History.,confident
I can't stay focused. while studying Machine Learning.,bored
I can't stay focused. while studying English.,bored
I cannot follow the steps. while studying History.,confused
This lesson is boring. while studying History.,bored
I'm happy with my progress. while studying English.,happy
I feel disappointed with my marks. while studying Mathematics.,sad
This lesson is boring. while studying History.,bored
I'm happy with my progress. while studying Physics.,happy
I'm losing interest. while studying Mathematics.,bored
I studied hard but didn't succeed. while studying Biology.,sad
I understand everything clearly. while studying Physics.,confident
I'm ready for the exam. while studying Data Structures.,confident
The test is making me nervous. while studying Machine Learning.,anxious
This topic doesn't make sense to me. while studying History.,confused
The explanation is confusing. while studying Physics.,confused
This chapter makes me ask many questions. while studying Mathematics.,curious
The test is making me nervous. while studying History.,anxious
I want to understand this concept better. while studying Machine Learning.,curious
Nothing seems to work. while studying Data Structures.,frustrated
The class feels too slow. while studying Python.,bored
I've tried many times but still can't solve it. while studying Algorithms.,frustrated
This topic doesn't make sense to me. while studying Mathematics.,confused
I'm sad because I failed. while studying Algorithms.,sad
The test is making me nervous. while studying English.,anxious
I feel discouraged. while studying Machine Learning.,sad
I keep making mistakes and feel frustrated. while studying Physics.,frustrated
I keep making mistakes and feel frustrated. while studying Biology.,frustrated
I'm interested in learning more about this topic. while studying Chemistry.,curious
I cannot follow the steps. while studying Mathematics.,confused
I solved the problem successfully. while studying Data Structures.,happy
The explanation is confusing. while studying Mathematics.,confused
This assignment is stressing me. while studying Chemistry.,frustrated
This assignment is stressing me. while studying Physics.,frustrated
I know I can solve these questions. while studying English.,confident
I feel discouraged. while studying Biology.,sad
I feel great after understanding it. while studying Physics.,happy
This topic doesn't make sense to me. while studying History.,confused
I'm afraid I'll fail. while studying Chemistry.,anxious
The explanation is confusing. while studying Biology.,confused
I cannot follow the steps. while studying English.,confused
I cannot follow the steps. while studying Machine Learning.,confused
I keep making mistakes and feel frustrated. while studying History.,frustrated
This lesson is boring. while studying Machine Learning.,bored
I'm interested in learning more about this topic. while studying Physics.,curious
This assignment is stressing me. while studying Biology.,frustrated
The explanation is confusing. while studying History.,confused
I'm afraid I'll fail. while studying Python.,anxious
I feel discouraged. while studying Data Structures.,sad
I'm afraid I'll fail. while studying Python.,anxious
I feel discouraged. while studying Python.,sad
I can't stay focused. while studying Algorithms.,bored
I feel great after understanding it. while studying English.,happy
This chapter makes me ask many questions. while studying History.,curious
I'm sad because I failed. while studying Biology.,sad
I'm interested in learning more about this topic. while studying Chemistry.,curious
I'm sad because I failed. while studying Python.,sad
This topic doesn't make sense to me. while studying Biology.,confused
The class feels too slow. while studying English.,bored
I'm sad because I failed. while studying Machine Learning.,sad
I feel discouraged. while studying Data Structures.,sad
I feel great after understanding it. while studying Machine Learning.,happy
I'm losing interest. while studying English.,bored
I solved the problem successfully. while studying English.,happy
I'm happy with my progress. while studying Mathematics.,happy
Nothing seems to work. while studying Machine Learning.,frustrated
I'm losing interest. while studying Physics.,bored
I'm losing interest. while studying Machine Learning.,bored
I'm worried about tomorrow's exam. while studying Mathematics.,anxious
I'm confident about this subject. while studying Algorithms.,confident
This assignment is stressing me. while studying Physics.,frustrated
I studied hard but didn't succeed. while studying Python.,sad
I'm confident about this subject. while studying Mathematics.,confident
I'm sad because I failed. while studying Chemistry.,sad
I want to understand this concept better. while studying Chemistry.,curious
This assignment is stressing me. while studying Physics.,frustrated
I enjoy exploring how this works. while studying English.,curious
I don't think I'm prepared. while studying Python.,anxious
I don't understand this lesson. while studying Algorithms.,confused
The test is making me nervous. while studying Machine Learning.,anxious
I understand everything clearly. while studying English.,confident
I'm sad because I failed. while studying Machine Learning.,sad
I keep making mistakes and feel frustrated. while studying English.,frustrated
I don't understand this lesson. while studying Chemistry.,confused
I solved the problem successfully. while studying Physics.,happy
The explanation is confusing. while studying History.,confused
I feel disappointed with my marks. while studying Mathematics.,sad
The explanation is confusing. while studying Machine Learning.,confused
I'm interested in learning more about this topic. while studying Python.,curious
The test is making me nervous. while studying Mathematics.,anxious
I feel discouraged. while studying Machine Learning.,sad
This chapter makes me ask many questions. while studying Mathematics.,curious
This topic doesn't make sense to me. while studying History.,confused
I enjoy exploring how this works. while studying History.,curious
I solved the problem successfully. while studying Machine Learning.,happy
I'm afraid I'll fail. while studying Algorithms.,anxious
I can't stay focused. while studying Mathematics.,bored
I can't stay focused. while studying Machine Learning.,bored
I'm interested in learning more about this topic. while studying Algorithms.,curious
This lesson is boring. while studying Algorithms.,bored
This lesson is boring. while studying Biology.,bored
I solved the problem successfully. while studying Physics.,happy
Learning this was fun. while studying Chemistry.,happy
I'm afraid I'll fail. while studying English.,anxious
I enjoy exploring how this works. while studying Mathematics.,curious
I'm sad because I failed. while studying Data Structures.,sad
I'm happy with my progress. while studying Machine Learning.,happy
I studied hard but didn't succeed. while studying Algorithms.,sad
Learning this was fun. while studying Chemistry.,happy
This lesson is boring. while studying Machine Learning.,bored
I cannot follow the steps. while studying Data Structures.,confused
I'm confident about this subject. while studying English.,confident
I'm losing interest. while studying Physics.,bored
I'm sad because I failed. while studying Python.,sad
I understand everything clearly. while studying Algorithms.,confident
I'm sad because I failed. while studying Python.,sad
Nothing seems to work. while studying Python.,frustrated
I'm confident about this subject. while studying Algorithms.,confident
The class feels too slow. while studying Physics.,bored
I feel great after understanding it. while studying Biology.,happy
I enjoy exploring how this works. while studying Mathematics.,curious
I cannot follow the steps. while studying Physics.,confused
I know I can solve these questions. while studying Chemistry.,confident
The test is making me nervous. while studying Biology.,anxious
I'm interested in learning more about this topic. while studying Algorithms.,curious
I feel great after understanding it. while studying Biology.,happy
The explanation is confusing. while studying Data Structures.,confused
I'm ready for the exam. while studying Biology.,confident
I'm happy with my progress. while studying Mathematics.,happy
I'm interested in learning more about this topic. while studying Python.,curious
I'm sad because I failed. while studying English.,sad
I keep making mistakes and feel frustrated. while studying Python.,frustrated
I don't understand this lesson. while studying Chemistry.,confused
The class feels too slow. while studying Chemistry.,bored
I'm confident about this subject. while studying Chemistry.,confident
I'm confident about this subject. while studying English.,confident
Nothing seems to work. while studying Mathematics.,frustrated
I want to understand this concept better. while studying Algorithms.,curious
I'm afraid I'll fail. while studying Mathematics.,anxious
I'm ready for the exam. while studying Mathematics.,confident
I'm confident about this subject. while studying Chemistry.,confident
I'm sad because I failed. while studying Python.,sad
I feel discouraged. while studying Data Structures.,sad
I'm worried about tomorrow's exam. while studying Biology.,anxious
I'm afraid I'll fail. while studying Chemistry.,anxious
The explanation is confusing. while studying Chemistry.,confused
I don't understand this lesson. while studying Machine Learning.,confused
Nothing seems to work. while studying Algorithms.,frustrated
I've tried many times but still can't solve it. while studying Data Structures.,frustrated
I'm afraid I'll fail. while studying Mathematics.,anxious
I'm interested in learning more about this topic. while studying Data Structures.,curious
I'm sad because I failed. while studying Physics.,sad
I'm worried about tomorrow's exam. while studying Python.,anxious
I'm losing interest. while studying Chemistry.,bored
I feel great after understanding it. while studying Algorithms.,happy
I solved the problem successfully. while studying Machine Learning.,happy
I'm afraid I'll fail. while studying Biology.,anxious
This lesson is boring. while studying Mathematics.,bored
I enjoy exploring how this works. while studying Algorithms.,curious
I feel discouraged. while studying Chemistry.,sad
I know I can solve these questions. while studying Biology.,confident
Learning this was fun. while studying Algorithms.,happy
I'm losing interest. while studying Algorithms.,bored
I feel great after understanding it. while studying History.,happy
I enjoy exploring how this works. while studying English.,curious
This lesson is boring. while studying English.,bored
I want to understand this concept better. while studying Python.,curious
I don't understand this lesson. while studying Physics.,confused
This lesson is boring. while studying Data Structures.,bored
This assignment is stressing me. while studying Machine Learning.,frustrated
I'm ready for the exam. while studying Biology.,confident
I feel discouraged. while studying Biology.,sad
I'm happy with my progress. while studying Machine Learning.,happy
I'm worried about tomorrow's exam. while studying English.,anxious
The explanation is confusing. while studying History.,confused
This topic doesn't make sense to me. while studying Chemistry.,confused
The test is making me nervous. while studying Python.,anxious
I don't think I'm prepared. while studying English.,anxious
I'm afraid I'll fail. while studying Data Structures.,anxious
I can't stay focused. while studying Machine Learning.,bored
I cannot follow the steps. while studying Physics.,confused
I'm confident about this subject. while studying English.,confident
This assignment is stressing me. while studying Data Structures.,frustrated
I feel great after understanding it. while studying Physics.,happy
I don't think I'm prepared. while studying History.,anxious
This chapter makes me ask many questions. while studying Python.,curious
I'm afraid I'll fail. while studying Machine Learning.,anxious
I feel disappointed with my marks. while studying Data Structures.,sad
I'm interested in learning more about this topic. while studying History.,curious
I studied hard but didn't succeed. while studying Machine Learning.,sad
Nothing seems to work. while studying Physics.,frustrated
Nothing seems to work. while studying Machine Learning.,frustrated
I feel disappointed with my marks. while studying Mathematics.,sad
I'm worried about tomorrow's exam. while studying Physics.,anxious
This lesson is boring. while studying Chemistry.,bored
I cannot follow the steps. while studying Physics.,confused
The class feels too slow. while studying Algorithms.,bored
I'm happy with my progress. while studying Mathematics.,happy
I keep making mistakes and feel frustrated. while studying Physics.,frustrated
I enjoy exploring how this works. while studying Algorithms.,curious
I'm happy with my progress. while studying Physics.,happy
I'm worried about tomorrow's exam. while studying Chemistry.,anxious
I understand everything clearly. while studying English.,confident
I studied hard but didn't succeed. while studying History.,sad
This lesson is boring. while studying Algorithms.,bored
I don't think I'm prepared. while studying History.,anxious
I feel great after understanding it. while studying English.,happy
I enjoy exploring how this works. while studying Physics.,curious
I feel great after understanding it. while studying Machine Learning.,happy
I'm happy with my progress. while studying Physics.,happy
I know I can solve these questions. while studying Python.,confident
The explanation is confusing. while studying English.,confused
I studied hard but didn't succeed. while studying Chemistry.,sad
I'm interested in learning more about this topic. while studying Mathematics.,curious
I enjoy exploring how this works. while studying Biology.,curious
I don't think I'm prepared. while studying Chemistry.,anxious
I studied hard but didn't succeed. while studying English.,sad
I've tried many times but still can't solve it. while studying History.,frustrated
I understand everything clearly. while studying Machine Learning.,confident
I'm happy with my progress. while studying Algorithms.,happy
I keep making mistakes and feel frustrated. while studying Data Structures.,frustrated
I keep making mistakes and feel frustrated. while studying Algorithms.,frustrated
I've tried many times but still can't solve it. while studying Mathematics.,frustrated
The explanation is confusing. while studying Biology.,confused
I cannot follow the steps. while studying Physics.,confused
This assignment is stressing me. while studying Chemistry.,frustrated
I'm sad because I failed. while studying Machine Learning.,sad
I feel great after understanding it. while studying Python.,happy
I cannot follow the steps. while studying Mathematics.,confused
I'm afraid I'll fail. while studying Python.,anxious
I feel disappointed with my marks. while studying Machine Learning.,sad
The explanation is confusing. while studying Python.,confused
I'm ready for the exam. while studying Algorithms.,confident
I'm happy with my progress. while studying English.,happy
I solved the problem successfully. while studying Biology.,happy
I don't understand this lesson. while studying Chemistry.,confused
I feel great after understanding it. while studying Physics.,happy
I understand everything clearly. while studying History.,confident
I've tried many times but still can't solve it. while studying Mathematics.,frustrated
I solved the problem successfully. while studying Chemistry.,happy
I'm losing interest. while studying Biology.,bored
I'm happy with my progress. while studying Physics.,happy
Learning this was fun. while studying Data Structures.,happy
I solved the problem successfully. while studying Biology.,happy
I don't understand this lesson. while studying Python.,confused
I've tried many times but still can't solve it. while studying Chemistry.,frustrated
The class feels too slow. while studying Mathematics.,bored
This chapter makes me ask many questions. while studying Algorithms.,curious
Nothing seems to work. while studying Python.,frustrated
I can't stay focused. while studying Python.,bored
I want to understand this concept better. while studying English.,curious
I keep making mistakes and feel frustrated. while studying History.,frustrated
I studied hard but didn't succeed. while studying Algorithms.,sad
Nothing seems to work. while studying Python.,frustrated
Learning this was fun. while studying Mathematics.,happy
I can't stay focused. while studying Machine Learning.,bored
I enjoy exploring how this works. while studying English.,curious
I feel disappointed with my marks. while studying Physics.,sad
I want to understand this concept better. while studying Physics.,curious
I studied hard but didn't succeed. while studying Physics.,sad
I keep making mistakes and feel frustrated. while studying Python.,frustrated
I'm losing interest. while studying Physics.,bored
This topic doesn't make sense to me. while studying Algorithms.,confused
I'm confident about this subject. while studying Python.,confident
I'm sad because I failed. while studying Algorithms.,sad
Nothing seems to work. while studying Mathematics.,frustrated
I'm ready for the exam. while studying Algorithms.,confident
I enjoy exploring how this works. while studying Algorithms.,curious
This lesson is boring. while studying Data Structures.,bored
The class feels too slow. while studying Data Structures.,bored
I can't stay focused. while studying Physics.,bored
I feel discouraged. while studying Algorithms.,sad
The class feels too slow. while studying Data Structures.,bored
I'm interested in learning more about this topic. while studying English.,curious
I'm sad because I failed. while studying English.,sad
I feel discouraged. while studying Machine Learning.,sad
The explanation is confusing. while studying Mathematics.,confused
I don't think I'm prepared. while studying Data Structures.,anxious
Nothing seems to work. while studying Chemistry.,frustrated
I'm sad because I failed. while studying Data Structures.,sad
I'm worried about tomorrow's exam. while studying Python.,anxious
I don't understand this lesson. while studying English.,confused
I feel disappointed with my marks. while studying Algorithms.,sad
I don't understand this lesson. while studying Python.,confused
I'm losing interest. while studying History.,bored
I can't stay focused. while studying Physics.,bored
I know I can solve these questions. while studying English.,confident
I'm confident about this subject. while studying Mathematics.,confident
This chapter makes me ask many questions. while studying Algorithms.,curious
This topic doesn't make sense to me. while studying Biology.,confused
I want to understand this concept better. while studying English.,curious
I enjoy exploring how this works. while studying Physics.,curious
I cannot follow the steps. while studying Mathematics.,confused
I can't stay focused. while studying Machine Learning.,bored
The test is making me nervous. while studying Algorithms.,anxious
I enjoy exploring how this works. while studying Physics.,curious
I'm losing interest. while studying History.,bored
I cannot follow the steps. while studying Mathematics.,confused
Nothing seems to work. while studying History.,frustrated
I understand everything clearly. while studying Machine Learning.,confident
I'm worried about tomorrow's exam. while studying History.,anxious
I studied hard but didn't succeed. while studying Data Structures.,sad
I studied hard but didn't succeed. while studying Mathematics.,sad
The test is making me nervous. while studying History.,anxious
I understand everything clearly. while studying Mathematics.,confident
I've tried many times but still can't solve it. while studying Data Structures.,frustrated
The explanation is confusing. while studying Python.,confused
I'm happy with my progress. while studying Python.,happy
I can't stay focused. while studying Chemistry.,bored
This topic doesn't make sense to me. while studying Mathematics.,confused
I keep making mistakes and feel frustrated. while studying Chemistry.,frustrated
I can't stay focused. while studying English.,bored
I studied hard but didn't succeed. while studying Algorithms.,sad
I enjoy exploring how this works. while studying English.,curious
I cannot follow the steps. while studying Physics.,confused
I want to understand this concept better. while studying English.,curious
I solved the problem successfully. while studying Machine Learning.,happy
This lesson is boring. while studying Algorithms.,bored
I want to understand this concept better. while studying Biology.,curious
The class feels too slow. while studying Python.,bored
I know I can solve these questions. while studying English.,confident
This lesson is boring. while studying Python.,bored
I cannot follow the steps. while studying Machine Learning.,confused
I don't understand this lesson. while studying Machine Learning.,confused
I keep making mistakes and feel frustrated. while studying Python.,frustrated
I understand everything clearly. while studying English.,confident
This assignment is stressing me. while studying Machine Learning.,frustrated
I'm sad because I failed. while studying Biology.,sad
I want to understand this concept better. while studying Chemistry.,curious
I enjoy exploring how this works. while studying Physics.,curious
The explanation is confusing. while studying Physics.,confused
I've tried many times but still can't solve it. while studying Data Structures.,frustrated
I'm afraid I'll fail. while studying Biology.,anxious
I've tried many times but still can't solve it. while studying Mathematics.,frustrated
I'm confident about this subject. while studying Python.,confident
I solved the problem successfully. while studying Data Structures.,happy
I studied hard but didn't succeed. while studying English.,sad
I enjoy exploring how this works. while studying English.,curious
I'm worried about tomorrow's exam. while studying English.,anxious
This chapter makes me ask many questions. while studying Python.,curious
I'm losing interest. while studying Biology.,bored
I can't stay focused. while studying Chemistry.,bored
I've tried many times but still can't solve it. while studying Biology.,frustrated
I'm interested in learning more about this topic. while studying Biology.,curious
This chapter makes me ask many questions. while studying History.,curious
This chapter makes me ask many questions. while studying Chemistry.,curious
I don't understand this lesson. while studying Python.,confused
I'm confident about this subject. while studying Biology.,confident
I'm sad because I failed. while studying Data Structures.,sad
I can't stay focused. while studying Python.,bored
I enjoy exploring how this works. while studying Algorithms.,curious
This lesson is boring. while studying Physics.,bored
This assignment is stressing me. while studying History.,frustrated
I solved the problem successfully. while studying Algorithms.,happy
I've tried many times but still can't solve it. while studying Data Structures.,frustrated
This topic doesn't make sense to me. while studying Machine Learning.,confused
I understand everything clearly. while studying Mathematics.,confident
I solved the problem successfully. while studying Python.,happy
I can't stay focused. while studying Biology.,bored
Learning this was fun. while studying Python.,happy
I know I can solve these questions. while studying Algorithms.,confident
I've tried many times but still can't solve it. while studying Machine Learning.,frustrated
I cannot follow the steps. while studying Python.,confused
The explanation is confusing. while studying Python.,confused
This topic doesn't make sense to me. while studying History.,confused
Nothing seems to work. while studying Data Structures.,frustrated
This chapter makes me ask many questions. while studying Mathematics.,curious
I want to understand this concept better. while studying Data Structures.,curious
I'm happy with my progress. while studying Physics.,happy
I'm afraid I'll fail. while studying Mathematics.,anxious
I'm interested in learning more about this topic. while studying Chemistry.,curious
The class feels too slow. while studying Physics.,bored
I don't understand this lesson. while studying English.,confused
I enjoy exploring how this works. while studying Mathematics.,curious
I'm interested in learning more about this topic. while studying English.,curious
I studied hard but didn't succeed. while studying Mathematics.,sad
I want to understand this concept better. while studying Algorithms.,curious
I understand everything clearly. while studying Mathematics.,confident
I'm worried about tomorrow's exam. while studying Chemistry.,anxious
I want to understand this concept better. while studying Algorithms.,curious
I understand everything clearly. while studying Biology.,confident
The test is making me nervous. while studying Machine Learning.,anxious
The class feels too slow. while studying Chemistry.,bored
Learning this was fun. while studying History.,happy
I'm sad because I failed. while studying Data Structures.,sad
I keep making mistakes and feel frustrated. while studying History.,frustrated
I'm afraid I'll fail. while studying Biology.,anxious
I'm worried about tomorrow's exam. while studying Algorithms.,anxious
The class feels too slow. while studying Data Structures.,bored
I cannot follow the steps. while studying Chemistry.,confused
This topic doesn't make sense to me. while studying Python.,confused
I feel disappointed with my marks. while studying Biology.,sad
I'm losing interest. while studying Biology.,bored
I'm losing interest. while studying Algorithms.,bored
I don't understand this lesson. while studying Machine Learning.,confused
I know I can solve these questions. while studying Physics.,confident
I'm confident about this subject. while studying Physics.,confident
I solved the problem successfully. while studying Python.,happy
I understand everything clearly. while studying Python.,confident
This chapter makes me ask many questions. while studying Data Structures.,curious
I'm interested in learning more about this topic. while studying Mathematics.,curious
This assignment is stressing me. while studying Data Structures.,frustrated
I'm sad because I failed. while studying Algorithms.,sad
I studied hard but didn't succeed. while studying Physics.,sad
I'm sad because I failed. while studying Python.,sad
I'm sad because I failed. while studying Chemistry.,sad
I don't think I'm prepared. while studying Biology.,anxious
I know I can solve these questions. while studying Physics.,confident
I feel disappointed with my marks. while studying English.,sad
I keep making mistakes and feel frustrated. while studying Mathematics.,frustrated
I don't understand this lesson. while studying Data Structures.,confused
I'm confident about this subject. while studying Mathematics.,confident
I've tried many times but still can't solve it. while studying Physics.,frustrated
I enjoy exploring how this works. while studying Machine Learning.,curious
I know I can solve these questions. while studying History.,confident
I'm interested in learning more about this topic. while studying History.,curious
The explanation is confusing. while studying English.,confused
I feel disappointed with my marks. while studying Machine Learning.,sad
I'm happy with my progress. while studying Mathematics.,happy
The test is making me nervous. while studying Machine Learning.,anxious
The test is making me nervous. while studying Python.,anxious
I cannot follow the steps. while studying Machine Learning.,confused
I'm happy with my progress. while studying Physics.,happy
The explanation is confusing. while studying Biology.,confused
I'm ready for the exam. while studying Data Structures.,confident
Nothing seems to work. while studying History.,frustrated
This topic doesn't make sense to me. while studying Data Structures.,confused
I keep making mistakes and feel frustrated. while studying Algorithms.,frustrated
I can't stay focused. while studying Algorithms.,bored
I want to understand this concept better. while studying Python.,curious
I understand everything clearly. while studying Python.,confident
I'm interested in learning more about this topic. while studying Chemistry.,curious
I'm interested in learning more about this topic. while studying Python.,curious
I'm interested in learning more about this topic. while studying Physics.,curious
I don't think I'm prepared. while studying Machine Learning.,anxious
This assignment is stressing me. while studying History.,frustrated
I understand everything clearly. while studying Machine Learning.,confident
I studied hard but didn't succeed. while studying Physics.,sad
This chapter makes me ask many questions. while studying Chemistry.,curious
I'm interested in learning more about this topic. while studying Physics.,curious
I keep making mistakes and feel frustrated. while studying History.,frustrated
I understand everything clearly. while studying Chemistry.,confident
I know I can solve these questions. while studying Algorithms.,confident
I solved the problem successfully. while studying English.,happy
The explanation is confusing. while studying Data Structures.,confused
